property_url,property_id,address,street_name,apartment,city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,land_space_unit,broker_id,property_type,property_status,year_build,total_num_units,listing_age,RunDate,agency_name,agent_name,agent_phone,is_owned_by_zillow
https://www.zillow.com/homedetails/L19-B5-Evergreen-St-Wrangell-AK-99929/2077192415_zpid/,2077192415,"L19-B5 Evergreen St, Wrangell, AK 99929",-B5 Evergreen St,,Wrangell,AK,56.478485,-132.39151,99929,20000.0,,,,,5000.0,sqft,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/L32e-Rainbow-Is-Meyers-Chuck-AK-99903/2080229202_zpid/,2080229202,"L32e Rainbow Is, Meyers Chuck, AK 99903",e Rainbow Is,,Meyers Chuck,AK,,,99903,39000.0,,,,,0.715,acres,,LOT,PENDING,,,-1,2022-04-24 07:34:15,Coastal Keller Williams Realty Alaska Group,,,0
https://www.zillow.com/homedetails/L21-B5-Evergreen-St-Wrangell-AK-99929/2077172057_zpid/,2077172057,"L21-B5 Evergreen St, Wrangell, AK 99929",-B5 Evergreen St,,Wrangell,AK,56.478485,-132.39151,99929,20000.0,,,,,5000.0,sqft,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/LOT-43C-Only-Meyers-Chuck-AK-99903/2066744817_zpid/,2066744817,"LOT-43C Only, Meyers Chuck, AK 99903",-43C Only,,Meyers Chuck,AK,,,99903,52500.0,,,,,0.73,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,,,,0
https://www.zillow.com/homedetails/909-B-Evergreen-Ave-Wrangell-AK-99929/2077192414_zpid/,2077192414,"909 B Evergreen Ave, Wrangell, AK 99929",B Evergreen Ave,,Wrangell,AK,56.484615,-132.38663,99929,65000.0,,,,,9519.0,sqft,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/909-A-Evergreen-Ave-Wrangell-AK-99929/2077192416_zpid/,2077192416,"909 A Evergreen Ave, Wrangell, AK 99929",A Evergreen Ave,,Wrangell,AK,56.484615,-132.38663,99929,75000.0,,,,,10372.0,sqft,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/6B-Union-Bay-Meyers-Chuck-AK-99903/2065645308_zpid/,2065645308,"6B Union Bay, Meyers Chuck, AK 99903",Union Bay,,Meyers Chuck,AK,,,99903,195000.0,2.0,1.0,212.0,916.0,6.91,acres,,SINGLE_FAMILY,FOR_SALE,,,-1,2022-04-24 07:34:15,Coastal Keller Williams Realty Alaska Group,,,0
https://www.zillow.com/homedetails/L7-B1-Uss-1593-Wrangell-AK-99929/2078070040_zpid/,2078070040,"L7 B1 Uss #1593, Wrangell, AK 99929",B1 Uss #1593,,Wrangell,AK,,,99929,175000.0,,,,,1.7284,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/L10-Marble-Is-Meyers-Chuck-AK-99903/2080280244_zpid/,2080280244,"L10 Marble Is, Meyers Chuck, AK 99903",Marble Is,,Meyers Chuck,AK,,,99903,59000.0,,,,,4.06,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Coastal Keller Williams Realty Alaska Group,,,0
https://www.zillow.com/homedetails/L9-Rivers-Edge-Wrangell-AK-99929/2085345031_zpid/,2085345031,"L9 Rivers Edge, Wrangell, AK 99929",Rivers Edge,,Wrangell,AK,,,99929,120000.0,,,,,4.03,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/L3-Rivers-Edge-Wrangell-AK-99929/2085345032_zpid/,2085345032,"L3 Rivers Edge, Wrangell, AK 99929",Rivers Edge,,Wrangell,AK,,,99929,120000.0,,,,,4.004,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/L1-Rivers-Edge-Wrangell-AK-99929/2085345269_zpid/,2085345269,"L1 Rivers Edge, Wrangell, AK 99929",Rivers Edge,,Wrangell,AK,,,99929,120000.0,,,,,4.003,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/L2-Rivers-Edge-Wrangell-AK-99929/2085346131_zpid/,2085346131,"L2 Rivers Edge, Wrangell, AK 99929",Rivers Edge,,Wrangell,AK,,,99929,120000.0,,,,,4.001,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/L6-Rivers-Edge-Wrangell-AK-99929/2085346133_zpid/,2085346133,"L6 Rivers Edge, Wrangell, AK 99929",Rivers Edge,,Wrangell,AK,,,99929,150000.0,,,,,4.077,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/Mi-6-5-Zimovia-Hwy-Wrangell-AK-99929/2075376501_zpid/,2075376501,"Mi 6.5 Zimovia Hwy, Wrangell, AK 99929",Mi 6.5 Zimovia Hwy,,Wrangell,AK,,,99929,2700000.0,,,,,38.59,acres,,LOT,PENDING,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/L14-Shoemaker-Loop-Rd-Wrangell-AK-99929/2075420985_zpid/,2075420985,"L14 Shoemaker Loop Rd, Wrangell, AK 99929",Shoemaker Loop Rd,,Wrangell,AK,56.41022,-132.3407,99929,210000.0,,,,,0.5551,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/403-Minke-Loop-Coffman-Cove-AK-99918/2065491548_zpid/,2065491548,"403 Minke Loop, Coffman Cove, AK 99918",Minke Loop,,Coffman Cove,AK,,,99918,59000.0,,,,,0.798,acres,,LOT,PENDING,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
